Name,Function,Links,Cost,Quantity,Distributor
Openmv H7 Plus,Camera,https://www.amazon.de/-/en/OpenMV-Cam-H7-Plus-Genuine-5MP/dp/B09WYQMDX2/ref=sr_1_1?crid=33PNR0X7MA4PN&dib=eyJ2IjoiMSJ9.Yc_Q0-hCd894n0G_bcZZcF-f-0dkgnJoI8TKEcn1adATHiwsHjOMsxN7wypOpl445D9UYHXL3-2f1G2MCrllQKvYyIBBfu8C0GBJ0G2BgiBJ5IAXfwfOIi8dYh07ZJqTczDMK1Ti4RFudyy5RdPc3PD2aKzn7GRjS-fHbqec4vrbJbEd_h3x2N8cVPhwFZIU8HSlvxaCvJnZKwT1FoPzDOHvl0mTq68b7PU9RntbvncqKXu-aS0xdyZ3n2rLu-sr1Gl_DVk6oFdqXrtLrIkLRkhFRnhVgK6GzlRqNTeNUs0.MOA0BK3GUTmC_OpycZaZHIXYmecJ_UzOdp4w1p16jns&dib_tag=se&keywords=openmv+cam+h7+plus&qid=1773569554&sprefix=openmv+cam+h7+plus,124,1,Amazon
JGA-370,Motor,https://smartfactory24.de/en/products/dc-motor-6v-12v-24v-elektrische-getriebe-motor-hohe-ausgerichtet-jga25-370?variant=51531346706775&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23078644272&gbraid=0AAAAABXW-xJgV7ZDjl7QhOxfMb-yjwhyP&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJOaSRpLTh0fsLKQK0RWMPgRs7d4cWUzSukIZcd0dJkx4TjQAPaBgE0aArDKEALw_wcB,15,1,Smartfactory24
Polulu g2 High-power,Motor driver,https://botland.de/dc-motortreiber/5990-g2-high-power-18v17-einkanal-treiber-fur-30v-17a-motoren-pololu-2991-5904422367244.html,36,1,Botland
Tower Pro MG92B,Servo Steering Joint,https://www.roboter-bausatz.de/p/tower-pro-mg92b-digitaler-mini-servo-mit-metallgetriebe?srsltid=AfmBOoptf3cbFYxvsTGS84BmE45A6R3zUI0CShGOaZyWRLzGi3AGPMfw,13,1,Roboter-Bausatz
Raspberry Pi 5,Main Processing Unit,https://www.amazon.de/-/en/Raspberry-Pi-SC1111-5-4gb/dp/B0CK3L9WD3/ref=sr_1_5?crid=36AVD0ZZE5SZ0&dib=eyJ2IjoiMSJ9.EK5CW71bdOZ_PC0v3vsz9JpWoieDSCeytda8d4WgxFziUHshaXTL9Xvo-U4XPeJGsoNIptDfLO5Gdmu3iYHGkzYbqbonKS_RnCaW3opI0RO0-G5c3XaN9z2VeFNu78_M-iyJ32J2wdw99mxXYmMpYJia9_mn6pmXI-EZZv7vz-cUKgApsVaoCA1vnUg-R-5RAldoOzeB2mFsAzOl2pP0QuBXNj-AObWkhTQWVvce4nM.p_X96cPFrw-Gq8VXtIR3PLt3J5k_RC2q4fMz2b1ORNk&dib_tag=se&keywords=raspberry+pi+5,90,1,Amazon
PDB,Power distribution,https://www.premium-modellbau.de/matek-pdb-bis-zu-12s-mit-bec-und-sensor-pdb-hex?gad_source=1&gad_campaignid=1653543034&gbraid=0AAAAADoWh8vq4HTlLxcMn6O5SG_jzf-_S&gclid=Cj0KCQjwsdnNBhC4ARIsAA_3heiXH-VMz8y7B4xgwzPU8bZL5MXNiugnjZ5kKnQfz4J71pPAZLxocBQaArh0EALw_wcB,25,1,Premium-Modellbau
7.4V Battery,Battery Power supply,https://www.amazon.de/OVONIC-Battery-Aircraft-Helicopter-Specially/dp/B08R726FTY/ref=sr_1_1_sspa?crid=1E0OZ2GXTSZS3&dib=eyJ2IjoiMSJ9.s_6FaY-dbbLpIezeLhlTQYzq897T9NT2auMXMoNAw6HgE8SYOfhL5l9404tka5E2Z9h9dYeZPtUeWBTyyWY3Sk6XzDAgKqMw06cX8txP3yDEI5zdFdlC4NVAmfU-csw8a30OcJS2-OpkrD-u5Fsq7RqLKYNk4UGZNGPfGgvdDSpKiku_DlEQ-I8Gjxc4rT35QxCHNfUNMzB962QQChKio_58Zk_1ZGDNyS3QimgtJSXb7aavRasmmHkeqzhvlUgathSGZLkn3RmamRP62mYyBlwwvhmbww6Boo17IYhMtUg.VD-Ak2KE3fU-C1060KKJ_NIA69O490IhtgK3ZEtst1E&dib_tag=se,28,1,Amazon
T-Dean Male Plug,Adapter to connect to Battery,https://www.amazon.de/Premium-Goldstecker-Stecker-verzinnt-Modellbau®/dp/B07C1JSV15/ref=asc_df_B07C1JSV15?mcid=3f313e58521b3b4d985251ab4e02ac79&th=1&tag=googshopde-21&linkCode=df0&hvadid=725809613218&hvpos=&hvnetw=g&hvrand=17068902777536047627&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9044393&hvtargid=pla-2399552437568&hvocijid=17068902777536047627-B07C1JSV15-&hvexpln=0,4,1,Amazon
LTC3780,Step down converter for motor,https://www.roboter-bausatz.de/p/spannungswandler-step-up-down-10a-dc-5v-32v-auf-1v-30v-ltc3780?sPartner=8&gad_source=1&gad_campaignid=12461217733&gbraid=0AAAAADKFiCA2CUl6FXfvpSPqSp_gMUlyD&gclid=Cj0KCQjwsdnNBhC4ARIsAA_3hej1hF1s0BhS1Nl0tT3tRvsYVuLvOZ-1uehZM4YjyWUVFrmTMn6BzDwaAoptEALw_wcB,18,1,Roboter-Bausatz
D36V50F5,Step down converter for pi5,https://botland.de/abwartswandler/16392-d36v50f5-5v-8a-abwartswandler-pololu-4091-5904422372125.html,29,1,Botland
MicroSD,For the pi5,https://www.voelkner.de/index.php?mp=products&file=info&ref=55&products_id=13003717&offer=5ae32255ce3f38b1b20f0e9f7366d203&utm_source=google&utm_medium=organic&utm_campaign=fpla&campaign_type=pla?utm_content=extern&gad_source=1&gad_campaignid=22425498201&gbraid=0AAAAAD7b-ka0VgyLEpV7-XglIPuidhcNp&gclid=CjwKCAjwntHPBhAaEiwA_Xp6RrpTBfn5mAIwplC1VRg6xP65GMKrtbOur4KKCp3QNVD4UdRaTCyZuBoCnwoQAvD_BwE,11,1,voelkner
